stub_id,particle_id,class,prob,top_feature_1,shap_1,top_feature_2,shap_2,top_feature_3,shap_3
1219,9806,TiZnGd,0.99973875,log_pb_plus_sb,4.860199,sb,1.832343,pb_sb_over_non_ba_mass,1.2942066
803,4703,BaAl,0.9993098,log_pb_plus_sb,3.8580267,sb,2.4255078,pb_sb_over_non_ba_mass,0.9123893
375,6058,BaCaSi,0.99892235,log_pb_plus_sb,6.8590403,pb_sb_over_non_ba_mass,1.5139098,al,0.28212816
1352,1647,BaCaSi,0.998801,log_pb_plus_sb,4.097526,pb_sb_over_non_ba_mass,1.1162322,si,0.52259326
1219,3063,TiZnGd,0.9986773,log_pb_plus_sb,6.0266185,pb_sb_over_non_ba_mass,1.3244641,sb,0.9242737
3115,1918,BaAl,0.9983479,log_pb_plus_sb,3.9027169,pb_sb_over_non_ba_mass,0.9701985,as,0.90909696
2085,2621,BaCaSi,0.9973629,log_pb_plus_sb,4.2314906,pb_sb_over_non_ba_mass,1.0773836,al,0.95324826
911,2455,BaCaSi,0.9971546,log_pb_plus_sb,4.5761647,pb_sb_over_non_ba_mass,1.1666275,pb,0.5859259
1352,9904,BaCaSi,0.9913549,log_pb_plus_sb,4.022986,pb_sb_over_non_ba_mass,0.7953052,pb,0.46635327
3011,2047,BaAl,0.98846626,log_pb_plus_sb,7.104072,pb_sb_over_non_ba_mass,1.5161941,ba_sb_over_non_pb_mass,0.13372107
4598,727,BaCaSi,0.9860086,log_pb_plus_sb,4.36641,pb_sb_over_non_ba_mass,1.2804515,al,0.4852895
1219,3064,TiZnGd,0.9856512,log_pb_plus_sb,5.574707,pb_sb_over_non_ba_mass,1.1923646,sb,1.0455637
2892,2162,BaCaSi,0.9728209,log_pb_plus_sb,2.9129572,pb_sb_over_non_ba_mass,0.8048841,s,0.51369584
680,3005,BaAl,0.9726637,log_pb_plus_sb,3.381703,pb_sb_over_non_ba_mass,0.9266474,si,0.37540796
1516,5502,BaAl,0.96557105,log_pb_plus_sb,6.665699,pb_sb_over_non_ba_mass,1.058486,pb_ba_over_non_sb_mass,0.14410877
915,585,BaAl,0.96065915,log_pb_plus_sb,3.4171848,pb_sb_over_non_ba_mass,0.80266976,cu_zn_over_mass,0.29538205
1352,11095,BaCaSi,0.95230824,log_pb_plus_sb,1.2701954,k,0.33215573,mg,0.32811883
680,1247,BaAl,0.9515468,log_pb_plus_sb,2.8125715,pb_sb_over_non_ba_mass,1.058622,cl,0.3989646
680,1546,BaAl,0.9508624,log_pb_plus_sb,2.6487134,pb_sb_over_non_ba_mass,0.71763015,k,0.43066606
680,2552,BaAl,0.94436973,log_pb_plus_sb,2.898394,pb_sb_over_non_ba_mass,0.6715281,ba,0.43032175
915,249,BaAl,0.9389615,log_pb_plus_sb,4.075045,pb_sb_over_non_ba_mass,1.1064633,pb,0.42492777
174,8913,BaAl,0.9356085,log_pb_plus_sb,2.5720809,ba,0.6968635,pb_sb_over_non_ba_mass,0.5813924
911,4330,BaCaSi,0.9351571,log_pb_plus_sb,2.7941525,pb_sb_over_non_ba_mass,0.83212453,al,0.3706728
1516,3397,BaAl,0.9314278,log_pb_plus_sb,4.1006494,pb_sb_over_non_ba_mass,1.0364113,pb,0.4647818
911,3971,BaCaSi,0.918804,log_pb_plus_sb,3.4008095,pb_sb_over_non_ba_mass,1.1561459,pb,0.37402377
3420,1069,BaAl,0.91712594,log_pb_plus_sb,3.876107,pb_sb_over_non_ba_mass,1.2123829,pb,0.35553634
911,4404,BaCaSi,0.91668195,log_pb_plus_sb,3.7665706,pb_sb_over_non_ba_mass,0.87826115,pb,0.50621945
911,3350,BaCaSi,0.9094689,log_pb_plus_sb,1.5102067,al,0.45579103,cu_zn_over_mass,0.44389194
174,9291,BaCaSi,0.9089108,log_pb_plus_sb,2.615894,ba,0.45757133,k,0.36354625
1207,2699,BaAl,0.9085146,log_pb_plus_sb,5.411089,pb_sb_over_non_ba_mass,1.1493818,pb,0.3830424
575,1370,BaAl,0.9008561,log_pb_plus_sb,2.6370199,pb_sb_over_non_ba_mass,0.67647046,cu,0.4521272
3115,1916,BaAl,0.8970385,log_pb_plus_sb,2.7842946,pb_sb_over_non_ba_mass,0.9469423,s,0.52657896
911,401,BaCaSi,0.89577514,log_pb_plus_sb,3.0490198,pb_sb_over_non_ba_mass,0.7916346,si,0.34574232
1093,1055,BaCaSi,0.8937645,log_pb_plus_sb,2.7579253,pb_sb_over_non_ba_mass,0.7889094,cu_zn_over_mass,0.31677318
3420,1943,BaAl,0.89059937,log_pb_plus_sb,2.634969,pb_sb_over_non_ba_mass,0.72152334,cu_zn_over_mass,0.3451166
911,4187,BaCaSi,0.8846335,log_pb_plus_sb,2.656928,pb_sb_over_non_ba_mass,0.94581336,al,0.48319095
575,1874,BaAl,0.8807804,log_pb_plus_sb,4.6609564,pb_sb_over_non_ba_mass,1.0828497,o,0.14721213
4119,3410,BaCaSi,0.87247336,log_pb_plus_sb,2.5947587,al,0.8648923,ba,0.4493238
680,505,BaAl,0.85837555,log_pb_plus_sb,3.181049,pb_sb_over_non_ba_mass,0.93808275,cu,0.32994622
4533,1272,BaAl,0.854143,log_pb_plus_sb,2.191029,ba,0.41425455,sb,0.35611883
621,60,BaAl,0.8526547,log_pb_plus_sb,1.3439924,as,0.8221347,o,0.25995386
1059,287,BaCaSi,0.8499726,log_pb_plus_sb,2.5201025,k,0.3566263,ca,0.34610182
911,1339,BaCaSi,0.8448461,log_pb_plus_sb,3.460019,pb_sb_over_non_ba_mass,0.87233883,pb,0.5010925
3420,76,BaCaSi,0.83778083,log_pb_plus_sb,3.184006,pb_sb_over_non_ba_mass,0.8232992,al,0.21128933
911,5540,BaCaSi,0.8341919,log_pb_plus_sb,2.8151774,pb_sb_over_non_ba_mass,0.82575846,al,0.46531117
1059,2144,BaCaSi,0.8331315,log_pb_plus_sb,1.5661885,al,0.6875624,ba,0.45124507
621,409,BaAl,0.82932234,log_pb_plus_sb,1.2762543,pb_sb_over_non_ba_mass,0.53627956,ca,0.37416923
680,1078,BaAl,0.82821923,log_pb_plus_sb,3.0624235,pb_sb_over_non_ba_mass,1.2758554,k,0.4176077
3115,1276,BaAl,0.81963897,log_pb_plus_sb,1.3037322,s,0.35383978,cu_zn_over_mass,0.27284983
375,2617,BaCaSi,0.81896615,log_pb_plus_sb,1.4332013,cu,0.5700945,al,0.45001665
3011,5564,BaAl,0.81703615,log_pb_plus_sb,5.0888095,pb_sb_over_non_ba_mass,1.3341949,s,0.09966213
680,2951,BaCaSi,0.81146085,log_pb_plus_sb,2.9373584,pb_sb_over_non_ba_mass,1.1181121,k,0.3487443
621,439,BaAl,0.804456,log_pb_plus_sb,1.2180877,cl,0.29927507,ti_zn_over_mass,0.29091093
3119,1498,BaAl,0.8043791,pb_sb_over_non_ba_mass,1.2202637,log_pb_plus_sb,0.8209609,s,0.3663689
523,1686,BaAl,0.8017496,log_pb_plus_sb,1.2561516,cu_zn_over_mass,0.29601634,na,0.2687202
575,2144,BaAl,0.8000976,log_pb_plus_sb,1.2619379,pb_sb_over_non_ba_mass,0.64626795,s,0.44497222
3258,1965,BaAl,0.79412174,log_pb_plus_sb,3.3753493,pb_sb_over_non_ba_mass,1.4591978,pb,0.36144185
3032,340,BaAl,0.79145217,log_pb_plus_sb,1.3174134,na,0.35764915,s,0.348721
3115,979,BaAl,0.7905319,log_pb_plus_sb,1.2424053,ti_zn_over_mass,0.25874764,cu,0.22751753
104,352,BaAl,0.7769712,log_pb_plus_sb,1.2855941,na,0.35710245,cu_zn_over_mass,0.23645012
4598,3530,BaCaSi,0.77637476,log_pb_plus_sb,2.598505,pb_sb_over_non_ba_mass,0.64986825,al,0.40703943
2044,4106,BaAl,0.7762527,log_pb_plus_sb,2.6684184,pb_sb_over_non_ba_mass,0.6791243,s,0.43988496
104,645,BaAl,0.7750749,log_pb_plus_sb,1.2641381,cu_zn_over_mass,0.39249647,cl,0.25624076
680,2184,BaAl,0.77466965,log_pb_plus_sb,2.1777189,pb_sb_over_non_ba_mass,0.6559597,cl,0.3583383
911,4328,BaCaSi,0.7737788,log_pb_plus_sb,2.2597501,pb_sb_over_non_ba_mass,0.83349717,al,0.34809476
680,1797,BaAl,0.77312535,log_pb_plus_sb,2.3031306,pb_sb_over_non_ba_mass,0.56221277,k,0.3977051
104,875,BaAl,0.76959914,log_pb_plus_sb,1.2819723,cu,0.34764817,cu_zn_over_mass,0.30672625
575,1658,BaAl,0.7671461,log_pb_plus_sb,1.2746754,cl,0.35566768,s,0.32011902
104,12,BaAl,0.7605379,log_pb_plus_sb,1.2934824,pb_sb_over_non_ba_mass,0.5243587,s,0.35849184
461,263,BaAl,0.7579579,log_pb_plus_sb,2.038947,ba,0.5211199,s,0.32983422
514,2657,BaAl,0.74696434,log_pb_plus_sb,1.9319787,ba,0.5030435,k,0.3356394
2614,2172,BaAl,0.7438299,log_pb_plus_sb,1.3009537,pb_sb_over_non_ba_mass,0.67946434,cu,0.24091423
621,894,BaAl,0.7381619,log_pb_plus_sb,1.2573808,cl,0.25621486,cu,0.17448503
680,1933,BaAl,0.72683966,log_pb_plus_sb,1.3304255,as,0.49234647,ba,0.29056767
1954,3719,BaAl,0.7234296,log_pb_plus_sb,4.7226925,pb_sb_over_non_ba_mass,1.2182525,pb,0.45523518
3115,417,BaAl,0.7233029,log_pb_plus_sb,1.3100146,cu_zn_over_mass,0.26273328,s,0.1865558
1516,397,BaAl,0.7203942,log_pb_plus_sb,4.773049,pb_sb_over_non_ba_mass,0.9324012,ba,0.119548306
3650,4952,CuZn,0.7198739,log_pb_plus_sb,3.755153,sb,1.6217923,ba_sb_over_non_pb_mass,1.0558276
3032,385,BaAl,0.71834517,log_pb_plus_sb,1.2539812,s,0.36715594,na,0.34567302
759,1556,BaAl,0.7168182,log_pb_plus_sb,1.9065601,ba,0.49161065,k,0.28529245
104,79,BaAl,0.7110022,log_pb_plus_sb,1.2581531,pb_sb_over_non_ba_mass,0.47917476,s,0.37998688
104,741,BaAl,0.7098731,log_pb_plus_sb,1.2494621,cu_zn_over_mass,0.35711166,cu,0.25109068
963,5391,BaCaSi,0.70894474,log_pb_plus_sb,3.172201,pb_sb_over_non_ba_mass,0.7264261,al,0.45573327
523,2587,BaAl,0.70514274,log_pb_plus_sb,1.3112761,cu_zn_over_mass,0.14662893,ba,0.14143474
3279,3749,BaAl,0.70034254,log_pb_plus_sb,1.123236,pb_sb_over_non_ba_mass,0.53013015,s,0.4345114
1918,1080,BaAl,0.69957834,log_pb_plus_sb,1.3043381,cu,0.41020232,s,0.23485273
3208,606,BaAl,0.6987889,log_pb_plus_sb,1.3557268,mg,0.33862275,s,0.27015623
3209,360,BaAl,0.6972231,log_pb_plus_sb,1.3130419,pb_sb_over_non_ba_mass,0.2493108,s,0.2331492
911,5682,BaCaSi,0.6950771,log_pb_plus_sb,2.4223325,s,0.25651535,pb_sb_over_non_ba_mass,0.23743778
523,2067,BaAl,0.6894054,log_pb_plus_sb,1.3314201,s,0.31469944,cu,0.29192182
3115,1795,BaAl,0.6891493,log_pb_plus_sb,1.2685243,pb_sb_over_non_ba_mass,0.58867764,cu,0.28683907
3621,1862,BaAl,0.68340474,log_pb_plus_sb,1.0016214,pb_sb_over_non_ba_mass,0.51796293,s,0.23978294
575,1653,BaAl,0.68012303,log_pb_plus_sb,1.1968448,cu,0.39954513,cu_zn_over_mass,0.26212648
4059,1253,BaAl,0.6770557,log_pb_plus_sb,2.0478094,ba,0.559025,sb,0.24243446
104,650,BaAl,0.670778,log_pb_plus_sb,1.2445471,gsr_over_confounders,0.17503835,cu,0.16122343
575,1630,BaAl,0.663931,log_pb_plus_sb,1.2258611,s,0.41157788,gsr_over_confounders,0.25475413
2546,1666,BaAl,0.6629076,log_pb_plus_sb,3.8499196,pb_sb_over_non_ba_mass,1.0573668,pb,0.23976491
3115,375,BaAl,0.6578572,log_pb_plus_sb,1.2575926,cu_zn_over_mass,0.2226042,cu,0.1618406
911,4188,BaCaSi,0.6564546,log_pb_plus_sb,2.5108929,pb_sb_over_non_ba_mass,0.9504435,al,0.34070614
621,756,BaAl,0.6548155,log_pb_plus_sb,1.302617,cu_zn_over_mass,0.17884801,cu,0.15807417
680,2874,BaAl,0.65374964,log_pb_plus_sb,2.8885603,pb_sb_over_non_ba_mass,0.96768886,cu,0.36422333
911,4315,BaCaSi,0.65065,log_pb_plus_sb,2.5908003,pb_sb_over_non_ba_mass,0.8030191,al,0.30610532
2044,4109,CuZn,0.6416799,log_pb_plus_sb,3.490807,s,0.46036953,pb_sb_over_non_ba_mass,0.4201463
3032,2068,BaAl,0.637584,log_pb_plus_sb,1.2510005,na,0.29768878,as,0.24556266
447,6350,BaAl,0.63057894,log_pb_plus_sb,1.9073145,ba,0.49051183,gsr_over_confounders,0.31017417
3966,858,BaCaSi,0.62620294,log_pb_plus_sb,1.8663033,ba,0.67574465,mg,0.37136367
3115,826,BaAl,0.6256056,log_pb_plus_sb,1.1837043,s,0.33696905,cu,0.298057
104,711,BaAl,0.62558293,log_pb_plus_sb,1.2218075,cl,0.42371973,cu,0.39707184
911,2882,BaCaSi,0.62459713,log_pb_plus_sb,1.5460813,al,0.62664527,k,0.3830153
169,7261,CuZn,0.62351143,log_pb_plus_sb,3.683372,sb,0.88875186,ba_sb_over_non_pb_mass,0.7753329
1352,6078,BaCaSi,0.6232074,log_pb_plus_sb,1.7327989,ba,0.6375627,gsr_over_confounders,0.50313836
3115,1975,BaAl,0.61590976,log_pb_plus_sb,1.2674133,cu,0.3175926,s,0.19702739
621,1060,BaAl,0.6119394,log_pb_plus_sb,1.2110355,s,0.32928023,cu_zn_over_mass,0.23439421
3420,2476,BaAl,0.60164714,log_pb_plus_sb,2.2643752,pb_sb_over_non_ba_mass,0.58109206,k,0.29390132
1437,84,BaAl,0.6010625,log_pb_plus_sb,1.2680866,na,0.34476674,cu_zn_over_mass,0.19644602
911,5620,BaCaSi,0.5988578,log_pb_plus_sb,1.8739821,pb_sb_over_non_ba_mass,0.8991931,s,0.3856775
3461,2820,BaAl,0.5969863,log_pb_plus_sb,1.2276812,s,0.3134848,cu,0.25236467
3115,2056,BaAl,0.5941886,log_pb_plus_sb,1.2288998,ca,0.2782074,s,0.20788097
3208,2127,BaAl,0.59189963,log_pb_plus_sb,0.87584823,mg,0.2970097,s,0.26041442
621,1115,BaAl,0.5911242,log_pb_plus_sb,1.2494243,cu_zn_over_mass,0.2749584,s,0.23108238
3115,1588,BaAl,0.5900203,log_pb_plus_sb,1.2403557,ca,0.29825386,s,0.21842626
3697,560,BaCaSi,0.5878291,log_pb_plus_sb,1.6757271,ba,0.673882,as,0.360509
104,284,BaAl,0.5789048,log_pb_plus_sb,1.2245306,s,0.33639506,cl,0.3096008
621,807,BaAl,0.5779557,log_pb_plus_sb,1.2168062,cu_zn_over_mass,0.3739999,s,0.35993266
915,737,BaCaSi,0.5769383,log_pb_plus_sb,0.97461003,ba_sb_over_non_pb_mass,0.3223633,ba,0.29285118
3032,1278,BaAl,0.57508105,log_pb_plus_sb,1.2809358,s,0.30919683,na,0.1957979
3115,852,BaAl,0.5748374,log_pb_plus_sb,0.8674399,o,0.24636076,gsr_over_confounders,0.15526247
3115,989,BaAl,0.57329834,log_pb_plus_sb,1.2729486,pb_sb_over_non_ba_mass,0.49491632,cu_zn_over_mass,0.1918703
915,538,BaAl,0.5592423,log_pb_plus_sb,0.99333656,ba_sb_over_non_pb_mass,0.3233638,ba,0.26993677
523,1307,BaAl,0.5586431,log_pb_plus_sb,1.2041873,o,0.21499524,ba_sb_over_non_pb_mass,0.14170238
3252,928,BaAl,0.55361056,log_pb_plus_sb,3.021372,pb_sb_over_non_ba_mass,0.832501,ba,0.31728846
1255,8064,BaCaSi,0.55359685,log_pb_plus_sb,1.9004431,ba,0.6381022,s,0.3812236
1494,1521,BaAl,0.55351096,log_pb_plus_sb,4.0493083,pb_sb_over_non_ba_mass,0.9311332,pb,0.21353158
915,513,BaCaSi,0.5524989,log_pb_plus_sb,0.9882122,ba,0.2702372,pb_ba_over_non_sb_mass,0.22256905
3209,809,BaAl,0.5517755,log_pb_plus_sb,1.2284331,pb_sb_over_non_ba_mass,0.48266143,s,0.4472195
